time 	y	p	dp	q	e	r	ex	im	po	rs	qs	dps	ys	es	ps
1990Q3	4.233890539	3.55189353	0.031500777	-0.473641619	0.951966708	0.042435694	6.071120949	5.88975682	3.277020197	0.033725974	-0.456598229	0.02069734	4.162980377	0.694901616	4.020089328
1990Q4	4.234817846	3.590665563	0.038772033	-0.635609461	0.92925434	0.042787134	6.060825276	5.784604746	3.482368683	0.034976476	-0.590152599	0.023638751	4.166969339	0.670450706	4.043728079
1991Q1	4.226830826	3.624394265	0.033728702	-0.643466032	0.949532066	0.041731538	5.974213941	5.802344637	3.032546247	0.031973816	-0.558489715	0.020154549	4.181478671	0.6990258	4.063882627
1991Q2	4.224572797	3.661199885	0.03680562	-0.556034898	1.029437258	0.039250937	6.065747729	5.833940221	2.933324813	0.028462592	-0.494123241	0.017687496	4.188035844	0.772312398	4.081570124
1991Q3	4.224184985	3.696696323	0.035496438	-0.500127458	1.051733796	0.038894487	6.005029487	5.830597306	2.989548191	0.029299592	-0.495673481	0.016886064	4.192848033	0.789760838	4.098456188
1991Q4	4.22246216	3.740012111	0.043315788	-0.526172948	1.029144304	0.037284463	5.969305831	5.694878106	3.020912572	0.033050007	-0.527306772	0.019561864	4.200994292	0.76363682	4.118018051
1992Q1	4.215430286	3.771620058	0.031607947	-0.53263969	1.039155942	0.036594351	5.973085479	5.70609841	2.901789658	0.031148772	-0.477630581	0.018297097	4.21190288	0.77249372	4.136315148
1992Q2	4.209277615	3.80105122	0.029431163	-0.569199942	1.04533457	0.033610869	5.934604891	5.710922994	3.001878348	0.03058752	-0.505013595	0.018518855	4.214627141	0.778149432	4.154834003
1992Q3	4.19763193	3.829054355	0.028003134	-0.687677476	1.019608763	0.032618211	5.917039908	5.665165193	3.002707887	0.030503049	-0.601798977	0.014386021	4.219167769	0.742635649	4.169220024
1992Q4	4.189098527	3.842477839	0.013423484	-0.741476054	1.086799458	0.029141796	5.823309956	5.873926385	2.954217331	0.029289934	-0.597559885	0.0158937	4.223893409	0.811592869	4.185113723
1993Q1	4.197918984	3.86142631	0.018948472	-0.656868501	1.138976578	0.026674905	5.886672644	5.798552101	2.901053394	0.028626613	-0.544597766	0.01912498	4.227171477	0.856995181	4.204238703
1993Q2	4.20882883	3.902112054	0.040685743	-0.594947002	1.161583958	0.026014993	6.036254219	5.739813371	2.903797889	0.027766561	-0.506281593	0.021929259	4.233509476	0.851326742	4.226167963
1993Q3	4.22312029	3.918901296	0.016789242	-0.571590041	1.216181968	0.02621002	5.981109788	5.814618191	2.802553995	0.028105267	-0.438576724	0.018948519	4.240555199	0.881241664	4.245116482
1993Q4	4.230501464	3.932768326	0.01386703	-0.540678963	1.217322302	0.023925935	6.004781028	5.833459348	2.712487011	0.027773429	-0.380394696	0.019003229	4.249729061	0.900796293	4.264119711
1994Q1	4.229076484	3.953732926	0.0209646	-0.402734309	1.234933536	0.022992812	6.004076643	5.805089163	2.635479508	0.028524477	-0.328551614	0.02377941	4.261397679	0.935660816	4.287899121
1994Q2	4.239866694	3.97121413	0.017481204	-0.334931451	1.285362912	0.024795442	5.989121491	5.952984852	2.77570885	0.030065408	-0.359424329	0.025903121	4.270568175	0.934083089	4.313802242
1994Q3	4.251050546	4.006270803	0.035056673	-0.301362992	1.282954026	0.023349816	6.026988702	6.007274295	2.819394777	0.016672077	-0.361775272	0.015159639	4.281657867	0.909050199	4.328961881
1994Q4	4.267604352	4.026247718	0.019976915	-0.308584033	1.264632249	0.026367552	6.03917474	6.016081398	2.805582153	0.016570111	-0.397442215	0.009343996	4.290990402	0.90001969	4.338305877
1995Q1	4.271209593	4.048667049	0.022419331	-0.408143103	1.271385628	0.027676625	6.057965952	6.165515049	2.827508869	0.018249755	-0.44460847	0.012046121	4.301518339	0.888334302	4.350351997
1995Q2	4.275640593	4.072438023	0.023770975	-0.405405485	1.292145756	0.030126387	6.086718897	6.131142196	2.89793751	0.018652065	-0.423811009	0.012106348	4.308997483	0.856600867	4.362458345
